GeneIndex,Weight
1506; -0,2822751
1507; -0,5270405
1508; 0,8910787
1509; -0,1527106
1510; -0,683753
1511; -0,7572098
1512; -0,5986109
1513; 0,720098
1514; 0,3253624
1515; -0,7752604
1516; -0,09884441
1517; -0,09691918
1518; -0,6543794
1519; -0,3039931
1520; 0,3104498
1521; -0,4719447
1522; -0,7030785
1523; 0,1711484
1524; -0,2923313
1525; 0,416908
1526; 0,09602582
1527; 0,7725036
1528; -0,9684508
1529; 0,7425716
1530; 0,2188765
1531; 0,8350163
1532; 0,8549166
1533; -0,7363358
1534; 0,3820104
1535; 0,9788973
1536; 0,4273467
1537; -0,618871
1538; 0,7067385
1539; -0,2113844
1540; 0,07664406
1541; 0,5957761
1542; -0,9368457
1543; 0,6757808
1544; -0,04915573
1545; -0,4778103
1546; -0,2353326
1547; -0,2803565
1548; -0,3662306
1549; 0,4354977
1550; 0,3318414
1551; -0,4504627
1552; 0,004161954
1553; -0,2510892
1554; 0,791383
1555; -0,9604685
1556; 0,9498668
1557; -0,3143133
1558; 0,4587252
1559; -0,9222217
1560; -0,3135904
1561; -0,8147767
1562; -0,2560524
1563; 0,5270352
1564; 0,4055855
1565; -0,4780058
1566; 0,7756164
1567; 0,974999
1568; 0,4696891
1569; 0,8398333
1570; -0,1046137
1571; 0,1401247
1572; -0,7837515
1573; 0,2583763
1574; -0,08161247
1575; 0,8944745
1576; 0,9283338
1577; 0,2460998
1578; 0,7461917
1579; 0,6446638
1580; 0,5781369
1581; 0,3510582
1582; 0,3705134
1583; 0,7798514
1584; -0,4047126
1585; -0,8288729
1586; -0,7601833
1587; 0,8010614
1588; -0,4029952
1589; 0,5162921
1590; 0,08225429
1591; -0,1429356
1592; 0,9686806
1593; -0,2668756
1594; -0,9843435
1595; 0,8470523
1596; 0,6518645
1597; -0,1342248
1598; 0,5026355
1599; -0,7732046
1600; 0,3488578
1601; -0,6673505
1602; 0,1688339
1603; -0,2911433
1604; -0,0985502
1605; -0,4482206
1606; 0,6688535
1607; 0,9213603
1608; 0,9421411
1609; -0,01250684
1610; -0,4211448
1611; 0,4408762
1612; -0,6737034
1613; 0,5527475
1614; 0,01573431
1615; 0,5666234
1616; 0,1635426
1617; -0,1926452
1618; 0,8741746
1619; -0,05807173
1620; -0,7319015
1621; 0,1791536
1622; -0,6247544
1623; -0,7778311
1624; 0,4907667
1625; -0,7560701
1626; 0,1923963
1627; -0,05877864
1628; -0,3910991
1629; 0,3470034
1630; 0,02215183
1631; 0,4267597
1632; -0,7140484
1633; 0,94541
1634; -0,4997603
1635; -0,2699276
1636; 0,08621585
1637; 0,1371306
1638; -0,01157248
1639; 0,4922924
1640; -0,156716
1641; -0,9203825
1642; 0,9798372
1643; -0,07606256
1644; 0,1280497
1645; -0,1385971
1646; -0,7023602
1647; -0,1321479
1648; 0,7089548
1649; 0,64152
1650; -0,7518272
1651; -0,5503662
1652; -0,5401661
1653; -0,6213531
1654; 0,004709601
1655; -0,4253582
1656; 0,9393978
1657; 0,2949378
1658; 0,6132259
1659; 0,01006114
1660; 0,7793319
1661; 0,4672832
1662; -0,3646568
1663; -0,6046805
1664; -0,7740767
1665; 0,2003561
1666; -0,5151248
1667; -0,3530539
1668; 0,3988733
1669; 0,1892356
1670; -0,7678535
1671; 0,4002952
1672; 0,675739
1673; -0,5474322
1674; 0,7512527
1675; 0,3923015
1676; -0,006539941
1677; 0,5810637
1678; -0,7043941
1679; -0,8275471
1680; -0,7413902
1681; -0,450241
1682; 0,2235647
1683; -0,8328094
1684; 0,0247761
1685; -0,106119
1686; -0,3372649
1687; -0,4539877
1688; 0,1122903
1689; -0,1123983
1690; 0,02235448
1691; -0,6648607
1692; 0,07390344
1693; 0,180396
1694; -0,9008188
1695; 0,4544372
1696; 0,1340839
1697; -0,1496016
1698; -0,5148549
1699; -0,5705063
1700; 0,963747
1701; -0,2191433
1702; 0,1316859
1703; -0,2443739
1704; -0,3958188
1705; -0,7209427
1706; 0,2880053
1707; -0,1646496
1708; 0,005248427
1709; -0,5687921
1710; 0,8022158
1711; 0,9069729
1712; -0,8556895
1713; -0,2334024
1714; -0,2017044
1715; -0,2425033
1716; 0,1459826
1717; 0,2013661
1718; 0,5590758
1719; -0,94894
1720; 0,1964144
1721; 0,7033391
1722; -0,9769118
1723; 0,5743852
1724; 0,9367156
1725; -0,6783922
1726; -0,2332302
1727; -0,7999597
1728; 0,04570019
1729; -0,3594326
1730; 0,6321526
1731; -0,7649038
1732; -0,9414959
1733; 0,1012174
1734; 0,04135016
1735; 0,4580714
1736; -0,6665545
1737; 0,3131032
1738; 0,3995752
1739; 0,7382834
1740; 0,06590998
1741; 0,6848614
1742; -0,7587564
1743; -0,7528789
1744; 0,4548988
1745; -0,2684995
1746; -0,4093191
1747; -0,2923614
1748; 0,1623265
1749; -0,9925256
1750; -0,4724032
1751; 0,03833425
1752; -0,6995969
1753; 0,7878258
1754; -0,2070979
1755; 0,8133004
1756; -0,5937073
1757; -0,2727548
1758; -0,1491243
1759; 0,1252021
1760; 0,4048664
1761; 0,3428769
1762; 0,5515597
1763; -0,2339238
1764; 0,6948018
1765; 0,5145419
1766; 0,3360309
1767; 0,9383075
1768; 0,1899256
1769; -0,4355527
1770; -0,2670301
1771; -0,70581
1772; -0,6086628
1773; -0,3612212
1774; 0,2326447
1775; 0,4123425
1776; 0,6724033
1777; 0,4459116
1778; -0,1153346
1779; -0,5535758
1780; -0,6970191
1781; 0,3353743
1782; 0,1989113
1783; 0,63643
1784; 0,7193791
1785; -0,3151609
1786; 0,9763415
1787; 0,07633841
1788; 0,1780673
1789; -0,3346158
1790; -0,7719219
1791; 0,7525072
1792; 0,9269066
1793; 0,2849843
1794; -0,387134
1795; -0,4353853
1796; 0,7245805
1797; -0,3945426
1798; -0,06916034
1799; 0,349019
1800; 0,6425834
1801; -0,314135
1802; 0,8605251
1803; 0,9422379
1804; 0,9574208
1805; -0,9232948
1806; 0,5696268
1807; 0,3514042
1808; -0,1279423
1809; -0,4887973
1810; -0,404245
1811; -0,5669136
1812; -0,247404
1813; 0,8235769
1814; 0,3635382
1815; 0,8523598
1816; -0,4869426
1817; 0,2282764
1818; -0,02269256
1819; -0,1974498
1820; 0,85798
1821; 0,8215814
1822; -0,5166347
1823; 0,8547668
1824; -0,6183939
1825; -0,4826959
1826; -0,5149078
1827; 0,3161618
1828; -0,7153237
1829; -0,05299825
1830; -0,1839699
1831; -0,4565459
1832; -0,5850499
1833; 0,3244686
1834; 0,1577291
1835; 0,200627
1836; 0,6097286
1837; -0,5385373
1838; -0,7463057
1839; -0,2936901
1840; -0,01539791
1841; -0,2347993
1842; -0,6000721
1843; 0,6982331
1844; 0,3476402
1845; 0,5248303
1846; 0,5242026
1847; 0,572293
1848; 0,6961234
1849; 0,472938
1850; 0,6959651
1851; -0,2799104
1852; -0,7115896
1853; -0,9479222
1854; 0,2975252
1855; 0,5478983
1856; 0,264615
1857; 0,6084893
1858; 0,4247658
1859; 0,5667772
1860; -0,2863475
1861; -0,6934166
1862; 0,05890262
1863; 0,4924407
1864; -0,06492698
1865; -0,2853614
1866; 0,9723365
1867; -0,4978729
1868; 0,1590837
1869; 0,3529956
1870; 0,3815303
1871; -0,9081486
1872; -0,2672909
1873; -0,8946018
1874; -0,1221141
1875; -0,951519
1876; -0,8313882
1877; -0,07719171
1878; -0,7011352
1879; -0,758626
1880; 0,4918532
1881; -0,9365146
1882; -0,7055097
1883; 0,4213426
1884; -0,6329889
1885; 0,4676768
1886; -0,7548485
1887; 0,5564544
1888; -0,07670748
1889; -0,1328505
1890; -0,5807881
1891; 0,4686422
1892; -0,5185971
1893; 0,6344585
1894; -0,7000537
1895; -0,05908883
1896; -0,3610984
1897; -0,7616973
1898; -0,9319175
1899; -0,7149792
1900; -0,8122296
1901; -0,3691596
1902; -0,7998073
1903; -0,1372718
1904; -0,8424764
1905; 0,9694808
1906; 0,1629835
1907; 0,001577497
1908; -0,8212724
1909; 0,3808262
1910; 0,1306502
1911; -0,5519452
1912; 0,02465689
1913; 0,2186846
1914; 0,7860153
1915; 0,2047776
1916; 0,1353709
1917; 0,7075579
1918; -0,5964386
1919; 0,4977328
1920; -0,03640234
1921; -0,6351604
1922; 0,7075639
1923; 0,002978683
1924; -0,9500473
1925; -0,6555476
1926; 0,1700245
1927; -0,02493632
1928; 0,6947694
1929; -0,7894437
1930; -0,5625801
1931; -0,7366581
1932; 0,2221054
1933; -0,09335887
1934; -0,3888124
1935; -0,6804057
1936; 0,7023907
1937; 0,6112952
1938; 0,09999406
1939; -0,04967409
1940; -0,865659
1941; 0,6563768
1942; -0,203832
1943; -0,9748287
1944; -0,2793432
1945; 0,07528174
1946; -0,3875152
1947; 0,2299336
1948; 0,2897136
1949; -0,8353384
1950; 0,1989864
1951; -0,3274866
1952; 0,7004883
1953; -0,2748595
1954; -0,5400968
1955; 0,3899882
1956; -0,2986478
1957; 0,4110932
1958; -0,01064861
1959; -0,2791108
1960; 0,2676227
1961; -0,3371814
1962; 0,4271445
1963; 0,3454594
1964; 0,2763543
1965; 0,200519
1966; 0,9026701
1967; -0,01289213
1968; -0,09498084
1969; -0,3399111
1970; -0,04892528
1971; -0,4199072
1972; 0,127772
1973; 0,4900543
1974; 0,5746306
1975; -0,02734387
1976; 0,728133
1977; 0,1844615
1978; 0,2797968
1979; -0,2752825
1980; -0,7360735
1981; 0,6364019
1982; -0,5522473
1983; -0,9457293
1984; 0,7024808
1985; -0,3613874
1986; -0,772687
1987; -0,5928979
1988; 0,8701682
1989; -0,7329922
1990; -0,4743057
1991; 0,1605862
1992; -0,157833
1993; -0,3838679
1994; 0,6385739
1995; -0,2892562
1996; -0,1781737
1997; -0,3619314
1998; -0,355179
1999; 0,8679056
2000; 0,5022392
2001; 0,3296277
2002; 0,7462375
2003; -0,4581936
2004; 0,7177019
2005; -0,7799456
2006; -0,7650604
2007; -0,8225708
2008; 0,2072762
2009; -0,4350992
2010; 0,7690363
2011; 0,4955902
2012; 0,2166371
2013; 0,6011982
2014; -0,5894778
2015; 0,495259
2016; 0,9891374
2017; -0,7801716
2018; 0,7955418
2019; -0,1393646
2020; -0,2614082
2021; 0,4767949
2022; 0,2059592
2023; -0,1307961
2024; -0,6288617
2025; 0,9144003
2026; 0,7329385
2027; -0,8963697
2028; -0,350258
2029; 0,9177501
2030; 0,01777613
2031; 0,3244893
2032; -0,6219528
2033; 0,5331199
2034; 0,5819709
2035; -0,2718588
2036; 0,6150613
2037; -0,496642
2038; 0,06682312
2039; 0,6920698
2040; 0,8439276
2041; -0,3935736
2042; -0,9543953
2043; 0,1783077
2044; -0,6127739
2045; 0,7172387
2046; -0,09584248
2047; 0,4044013
2048; 0,5919292
2049; -0,8548317
2050; -0,3780626
2051; -0,2645685
2052; -0,5027978
2053; 0,7447724
2054; -0,08109128
2055; -0,3471409
2056; -0,7182832
2057; -0,4327942
2058; -0,9786777
2059; 0,2459863
2060; -0,3313912
2061; 0,2932163
2062; -0,5249398
2063; -0,8178432
2064; -0,7357814
2065; 0,8651841
2066; 0,111668
2067; 0,4358935
2068; 0,9635732
2069; 0,100957
2070; 0,3335304
2071; -0,03582726
2072; -0,9904313
2073; 0,26197
2074; -0,4180853
2075; -0,7062809
2076; -0,3663255
2077; 0,5561152
2078; 0,4793938
2079; 0,2760138
2080; -0,422032
2081; 0,2247301
2082; 0,8130429
2083; -0,672538
2084; -0,5097378
2085; -0,09523404
2086; 0,2896075
2087; -0,3778478
2088; -0,8689723
2089; 0,5091147
2090; 0,4573524
2091; -0,1011451
2092; 0,2549023
2093; -0,1157964
2094; -0,6749222
2095; 0,8782132
2096; -0,7188392
2097; 0,7744412
2098; -0,08659995
2099; -0,1676153
2100; -0,3089775
2101; -0,1367086
2102; 0,7117281
2103; 0,8180907
2104; -0,05037796
2105; -0,401791
