GeneIndex;Weight
0; 0,4495547
1; 0,2802795
2; -0,1890319
3; -0,8279337
4; 0,5666005
5; -0,635286
6; -0,09115095
7; -0,3930902
8; -0,985437
9; -0,1555855
10; -0,8630762
11; -0,5828709
12; -0,6249323
13; 0,2649215
14; 0,954126
15; 0,1315651
16; -0,8945827
17; 0,3448709
18; -0,6759877
19; 0,2530653
20; -0,6648917
21; -0,410636
22; 0,246347
23; -0,236852
24; 0,8625195
25; -0,3230427
26; 0,9743895
27; -0,738712
28; -0,6042724
29; -0,7823433
30; -0,3930012
31; -0,5384201
32; 0,7216717
33; 0,6799604
34; 0,4541533
35; -0,8376722
36; -0,6024543
37; 0,9819961
38; -0,535008
39; -0,3512017
40; 0,1601652
41; -0,4192211
42; 0,4771257
43; 0,05409796
44; -0,3375059
45; 0,42452
46; -0,5731675
47; 0,8419053
48; -0,220124
49; 0,7774553
50; -0,09402568
51; 0,2124042
52; -0,3462141
53; 0,09136222
54; -0,8303657
55; 1
56; 0,3360295
57; -0,8547904
58; -0,4587725
59; 0,8197443
60; -0,2014819
61; -0,3713977
62; 0,5520435
63; -0,6372721
64; 1
65; -0,7334173
66; -1
67; 0,001060188
68; 0,4080701
69; -0,09456544
70; 0,6030478
71; 0,3824954
72; 0,1502087
73; -0,9875124
74; -0,8827786
75; -0,9950745
76; -0,8974266
77; 0,9143102
78; 0,7092955
79; 0,7181547
80; -0,3637082
81; -0,2979546
82; -0,1020976
83; -0,5193243
84; 0,2996148
85; 0,4625034
86; 0,4719691
87; 0,2393599
88; -0,1708385
89; -0,3186349
90; 0,9093854
91; 0,9367848
92; -0,04993358
93; -0,1663703
94; 0,1496429
95; 0,287577
96; 0,3045468
97; 0,223585
98; 0,993685
99; -0,0829122
100; -0,2811844
101; 0,7346292
102; 0,01418131
103; -0,5435695
104; -0,5640015
105; 0,2350377
106; -0,4366992
107; -0,2757281
108; -0,6563577
109; 0,8976541
110; -0,1184634
111; -0,9289737
112; -0,9539343
113; -0,8942518
114; -0,7058274
115; -0,09164693
116; 0,6249364
117; -0,6213947
118; -0,30092
119; 0,7427099
120; 0,9087011
121; -0,5219584
122; 0,9704743
123; -0,2759802
124; -1
125; 0,316853
126; -0,689604
127; 0,5868954
128; 0,6508968
129; -0,8182154
130; -0,2283636
131; -0,6696907
132; -0,7583301
133; 0,2476287
134; -0,08099195
135; -0,8687059
136; 0,0004101321
137; 0,7870659
138; 0,9421083
139; 0,599116
140; 0,1450097
141; 0,5843416
142; -0,3330213
143; 0,128506
144; -0,9296789
145; -0,0577339
146; -0,4940449
147; 0,2601852
148; 0,341281
149; -0,4977846
150; 0,09191167
151; 0,9304258
152; -0,2812095
153; -0,7489018
154; -0,2102955
155; 0,1255682
156; -0,6571122
157; 0,3654447
158; -0,08922512
159; 0,4186419
160; 0,9927767
161; -0,3100711
162; 0,8413429
163; -0,1097572
164; -0,7044043
165; -0,1633142
166; -0,2324109
167; 0,6713082
168; -1
169; -0,8424406
170; 0,6101436
171; -1
172; 0,8368669
173; 0,1900642
174; -0,5385158
175; 0,2361453
176; -0,3735497
177; -0,06352555
178; 0,7676677
179; -0,7752361
180; -0,5375629
181; 0,6549705
182; 0,2336135
183; 0,8570604
184; -0,7184944
185; -0,4964228
186; 1
187; 0,6004117
188; 0,8296704
189; -0,9351404
190; 0,7874435
191; -0,507932
192; 0,4621935
193; 0,1561547
194; 0,3455748
195; 0,7137628
196; -0,5149808
197; -0,2034884
198; -0,3464423
199; -0,4933095
200; -0,3367647
201; 0,04356148
202; -0,8257505
203; -0,7884583
204; 0,8643258
205; -0,04441029
206; -0,07915103
207; -0,7220782
208; 0,7518545
209; -0,5845304
210; -0,02516131
211; 0,7469002
212; 0,2546189
213; -0,4659597
214; -0,3890095
215; -0,9151411
216; 0,1773915
217; 0,4402599
218; 0,588834
219; 0,1621682
220; 0,3576016
221; -1
222; 0,4882671
223; 0,3730018
224; 0,4877155
225; 0,5115074
226; -0,01666146
227; -0,5112497
228; -0,8016244
229; -0,5027475
230; 0,7295932
231; 0,5974489
232; -0,9810226
233; -0,2038273
234; 0,2940934
235; -0,4297433
236; -0,1848601
237; -0,8861865
238; 0,6154901
239; -0,8212433
240; -0,1949031
