Generation,Fitness
8,0,3280722
8,0,1180128
8,0,1418749
9,0,2726803
9,-0,4757926
9,-0,23
9,15,61708
9,0,3070486
9,0,554701
9,0,1311685
9,-0,7436096
9,-0,4978071
9,0,005929172
9,0,04641598
9,0,2380438
9,-0,87
9,0
9,0
9,0
9,-0,2873737
9,0,1439021
9,0,1738397
9,-0,577567
9,0,01348805
9,0,6833979
9,0,04744843
9,0,3082317
9,0,1106976
9,-0,4747711
9,-0,01253429
9,0
9,-0,69
9,0,1055733
9,0,05361835
9,-0,4887449
9,0,3512827
9,0,2180329
9,0,2277002
9,0,1395578
9,-0,26
9,-0,23
9,-0,07
9,0
9,-0,82
9,0,249508
9,0,2591801
9,-0,05
9,0
9,0
9,0,1046873
9,0,05148454
9,0,03928643
9,-0,24
9,-0,39
9,0,2903464
9,-1,01
9,0,2826603
9,0,1187572
9,0
9,0,3179337
9,-0,93
9,0,1431189
9,-0,67
10,-0,11
10,-0,02
10,-0,11
10,-0,19
10,-0,18
10,0
10,-0,03
10,-0,06
10,0
10,0
10,0
10,0
10,-0,29
10,-0,14
10,0
10,-0,05451781
10,-0,07
10,-0,07
10,0
10,0
10,0
10,0
10,0
10,0,08804151
10,0
10,0
10,-0,83
10,0
10,0
10,0
10,0
10,0
10,-0,12
10,0
10,-0,31
10,-0,14
10,-0,01
10,0
10,-0,16
10,-0,09
10,-0,05
10,0
10,0
10,-0,03
10,0
10,0
10,0
10,0
10,-0,15
10,-0,63
10,0,7665464
10,0
10,-0,09
10,-0,06
10,0
10,0
10,0
10,-0,03
10,0
10,0
11,-0,3
11,0,1099967
11,0,3409247
11,0,07614021
11,0,07307863
11,0,142841
11,0,3667013
11,0,04800981
11,0,4438029
11,0,0692699
11,-0,3
11,0,008371279
11,0
11,-0,38
11,0,2898224
11,0,2552369
11,0,2472873
11,-0,54
11,-0,02
11,0,3096381
11,0,1606629
11,0,2658063
11,0,0826422
11,0,2865644
11,-0,14
11,-0,09
11,0,5635009
11,0,206548
11,0,1178117
11,0,07935625
11,0,6513423
11,0,01813196
11,0,3846601
11,0,1208551
11,0,1390922
11,0,4692704
11,-0,41
11,0,2222639
11,0,5497581
11,0,006524682
11,0,1026386
11,0,2504085
11,-0,75
11,-0,08
11,-0,4818109
11,0,06013441
11,0,09042603
11,0,1935367
11,-0,3497761
11,0,2279411
11,0,5715638
11,0,4098201
11,0,2331493
11,0,097193
11,-0,37
11,-0,01436446
11,0,3300503
11,0,08862486
11,-0,06
11,0,05782533
12,0,3757667
12,0,5062152
12,0,778372
12,0,8197807
12,0,1164466
12,-0,1795293
12,0,7626262
12,0,4101545
12,15,07633
12,0,5240546
12,-0,3835
12,-0,2428426
12,0,7726782
12,0,8555576
12,0,9302247
12,15,04587
12,0,1585171
12,0,2641817
12,0,719045
12,0,7750444
12,0,2139212
12,0,9435156
12,-0,4347995
12,-0,08874544
12,0,1777403
12,0,3624689
12,0,855081
12,0,6550895
12,0,5671551
12,-0,08291953
12,0,8457276
12,0,3324824
12,0,8560128
12,0,9373915
12,0,7784358
12,-0,1990444
12,15,65988
12,0,8625194
12,0,8486507
12,0,8496408
12,0,5254325
12,-0,03758234
12,-0,2534722
12,0,3953564
12,-0,2756725
12,0,8514336
12,15,51331
12,0,4908514
12,0,05451752
12,0,8555733
12,0,5629721
12,0,9428589
12,15,63474
12,-0,1473103
12,0,7636584
12,0,8603001
12,0,4116656
12,0,880812
12,0,89589
12,0,1938512
13,-0,11
13,0
13,-0,47
13,0
13,0,07126337
13,0,01913673
13,-0,02
13,-0,59
13,0
13,0
13,0,10545
13,0,1884643
13,-0,83
13,-0,24
13,0
13,-0,5
13,0,1268804
13,-0,8381814
13,-0,92
13,-0,68
13,-0,81
13,0,04628623
13,0,09080285
13,0
13,0
13,-1,13
13,0
13,-0,02
13,0,1236599
13,0,05592668
13,-0,14
13,0
13,0
13,0,05700266
13,0,02091652
13,-0,01
13,-0,53
13,0
13,0
13,0,1019593
13,0,0580861
13,-0,09
13,-0,02
13,0
13,0
13,-1,08
13,0,06644821
13,0,05185354
13,-0,01
13,-0,04
13,0
13,0
13,0,1116875
13,0,05829984
13,-0,06
13,0
13,0
13,0
13,0,1094978
13,0,001656413
14,-0,76
14,-0,7312873
14,-0,59
14,0,1517307
14,-0,62
14,0,1833924
14,0,0150936
14,-0,61
14,-0,57
14,-0,72
14,-0,55
14,-0,51
14,-0,71
14,-0,4486194
14,-0,52
14,-0,66
14,-0,7
14,-0,82
14,-0,8
14,0,2028269
14,-0,65
14,-0,61
14,-0,34
14,-0,43
14,-0,63
