GeneIndex;Weight
0; 0,7638354
1; 0,5325342
2; -0,3651266
3; -0,7348877
4; 0,8913114
5; -0,8040707
6; -0,3375863
7; -0,3743837
8; -0,7807595
9; 0,03395421
10; -0,9923372
11; -0,6839228
12; -0,7270037
13; 0,1596856
14; 0,8422353
15; 0,1076731
16; -0,9225942
17; 0,3916595
18; -0,8517458
19; 0,3996261
20; -0,7771014
21; -0,3962174
22; 0,2229057
23; -0,1387446
24; 0,9548804
25; -0,266141
26; 0,7672175
27; -0,7035455
28; -0,2204448
29; -0,9585242
30; -0,1460419
31; -0,4392026
32; 0,9087414
33; 0,703041
34; 0,5878346
35; -0,882812
36; -0,3902494
37; 0,7959372
38; -0,5002206
39; -0,3252305
40; -0,1056307
41; -0,5006995
42; 0,5905098
43; 0,02866451
44; -0,09268633
45; 0,6995834
46; -0,4610634
47; 0,831283
48; -0,4129595
49; 0,9064198
50; 0,1931686
51; 0,1428866
52; -0,3424121
53; -0,2124808
54; -0,7233877
55; 0,9733499
56; 0,9027653
57; -0,4278222
58; -0,09477419
59; 0,610947
60; -0,1716335
61; -0,7064033
62; 0,5993271
63; -0,7278814
64; 0,9250502
65; -0,7088835
66; -0,7819974
67; 0,008082934
68; 0,683648
69; -0,02024396
70; 0,6967087
71; 0,3974831
72; 0,2219386
73; -0,8351122
74; -0,9173192
75; -0,7477949
76; -0,9527983
77; 0,9328659
78; 0,5255482
79; 0,4091783
80; -0,2076048
81; -0,3599191
82; 0,01518304
83; -0,3956829
84; 0,07261225
85; 0,6817186
86; 0,4734752
87; 0,3093891
88; -0,1338485
89; -0,4331211
90; 0,6387323
91; 0,9059317
92; -0,105394
93; -0,28729
94; -0,02572462
95; 0,2283624
96; 0,06951193
97; 0,02755025
98; 0,8954856
99; -0,3259058
100; -0,3259803
101; 0,7378481
102; 0,1203102
103; -0,5592027
104; -0,5150829
105; 0,48711
106; -0,5592775
107; 0,04831926
108; -0,5178722
109; 0,9209218
110; -0,01465544
111; -0,7386072
112; -0,8642108
113; -0,7963434
114; -0,586863
115; 0,02644207
116; 0,5006473
117; -0,4560665
118; -0,1931202
119; 0,9237602
120; 0,981203
121; -0,3330623
122; 0,8537742
123; -0,1798488
124; -0,9663975
125; 0,1515459
126; -0,7653241
127; 0,722662
128; 0,4461705
129; -0,7752056
130; -0,1110101
131; -0,5710788
132; -0,8167656
133; 0,4888318
134; -0,07061189
135; -0,9131998
136; -0,1725022
137; 0,8203732
138; 0,8391154
139; 0,4913486
140; 0,2796861
141; 0,7151386
142; -0,3773358
143; 0,3680956
144; -0,9572299
145; -0,1732706
146; -0,5560855
147; 0,4813251
148; -0,05156808
149; -0,6509824
150; -0,217155
151; 0,9357793
152; -0,3432759
153; -0,578142
154; -0,2718959
155; 0,1206478
156; -0,9155883
157; 0,2485625
158; 0,1764492
159; 0,797722
160; 0,8727083
161; 0,2565109
162; 0,8786401
163; -0,203499
164; -0,8467847
165; -0,2479909
166; -0,3942442
167; 0,4122739
168; -0,9153932
169; -0,9182242
170; 0,5571379
171; -0,7762536
172; 0,5320939
173; 0,08897544
174; -0,7677308
175; 0,2944269
176; -0,1375412
177; 0,0564637
178; 0,6760669
179; -0,5538108
180; -0,1913834
181; 0,3809085
182; 0,09747093
183; 0,8235703
184; -0,7494224
185; -0,5308141
186; 0,6536394
187; 0,9126378
188; 0,806227
189; -0,7067112
190; 0,5074114
191; -0,9643114
192; 0,4190251
193; 0,06169754
194; 0,6194153
195; 0,9327252
196; -0,3899702
197; -0,1894124
198; -0,408464
199; -0,4046714
200; -0,1922334
201; -0,2385011
202; -1
203; -0,3965036
204; 0,8997457
205; -0,1108488
206; 0,1459363
207; -0,8157237
208; 0,7715828
209; -0,1877792
210; -0,1917797
211; 0,9238728
212; 0,4228708
213; -0,07525469
214; -0,3641008
215; -0,7108126
216; 0,003281116
217; 0,5172574
218; 0,4926681
219; 0,1919529
220; 0,08806553
221; -0,8426552
222; 0,8776206
223; 0,5898685
224; 0,5003007
225; 0,4141059
226; 0,05605018
227; -0,4054745
228; -0,7860361
229; -0,5863723
230; 0,6679725
231; 0,8146644
232; -0,9113868
233; -0,2605146
234; 0,4116347
235; -0,2733926
236; -0,02570868
237; -0,6983601
238; 0,6959938
239; -0,5513957
240; -0,08135953
241; -0,8313838
242; 0,2215757
243; -0,5602741
244; 0,1122982
245; 0,5125764
246; -0,4238046
247; 0,2231474
248; -0,3031005
249; -0,3410273
250; -0,09383518
251; 0,1375844
252; 1
253; -0,1079324
254; 0,4488756
255; -0,07384814
256; -0,4847772
257; 0,09855168
258; 0,03078678
259; 0,7164033
260; -1
261; -0,1148189
262; -0,04129488
263; 0,3522209
264; -0,9910587
265; -0,8796446
266; 0,3395298
267; 0,2179193
268; 0,8264661
269; 0,3188482
270; -0,1797516
271; -0,4918441
272; -0,1657701
273; 0,6210287
274; -0,2904086
275; -0,131626
276; -0,5009288
277; 0,7048171
278; -0,004336152
279; 0,6615253
280; 0,6967068
281; 0,3898026
282; -0,4602756
283; 0,1062926
284; -0,2613451
285; -0,1098905
286; 0,3803977
287; -0,7475415
288; 0,9511356
289; 0,6122317
290; -0,4829318
291; -0,9055654
292; -0,3889073
293; -0,8479496
294; 0,2153133
295; 0,4246999
296; -0,8105982
297; -0,8916372
298; 1
299; 0,7917227
300; 0,7188967
301; 0,4464297
302; -0,3783059
303; -0,6535717
304; -0,05980577
305; -0,07518002
306; 0,3515873
307; -0,1704653
308; 0,07435689
309; 0,7757244
310; -0,09651031
311; 0,2472124
312; 0,5764034
313; 0,3865372
314; 0,04036172
315; -0,3630535
316; 0,7848049
317; 0,1384015
318; 0,1504882
319; 0,1759593
320; 0,1334122
321; -0,6279728
322; -0,1655511
323; 0,5770689
324; -0,4982093
325; -0,3946647
326; -0,351575
327; -0,3589882
328; -0,9062055
329; -0,8482118
330; -0,3472325
331; -0,02413576
332; 0,5717387
333; 0,2476893
334; -0,3096517
335; 0,9321633
336; -0,5876626
337; -0,2463312
338; -0,08535925
339; -0,001636568
340; -0,5709165
341; -0,5233824
342; -0,117776
343; 0,1605894
344; -0,5691632
345; 0,8259881
346; 0,9206194
347; -0,1774087
348; -0,7540228
349; -0,6965553
350; 0,6260523
351; -0,2772558
352; -0,6225759
353; -0,1199743
354; 0,4885252
355; -0,1155593
356; 0,1090957
357; 0,8927233
358; 1
359; -0,7233162
360; 0,1092178
361; -0,5512248
362; 0,02225629
363; -0,8515377
364; 0,5752969
365; 0,6883861
366; 0,6738651
367; 0,4626142
368; -0,4448597
369; -0,6407039
370; 0,1127662
371; -0,1187873
372; 0,03859804
373; 0,1174834
374; 0,09239523
375; -0,2632606
376; -0,8696976
377; -0,4333725
378; -0,2482941
379; -0,0387272
380; 0,4947626
381; -0,558026
382; -0,8718454
383; -0,02870271
384; 0,4745354
385; -0,7151963
386; 0,07192879
387; -0,7994057
388; 0,6840146
389; 0,2758757
390; 0,1830094
391; -0,1080816
392; 0,2614332
393; -0,7757328
394; -0,09669994
395; 0,04265363
396; 0,7546542
397; 0,4000371
398; -0,5557991
399; 0,6686647
400; -1
401; 0,6007628
402; 0,6445411
403; 0,9505826
404; -0,09862701
405; 0,4853721
406; 0,8737276
407; -0,5346465
408; -0,4804686
409; -0,3100696
410; -0,5516211
411; 0,7096117
412; -0,8154779
413; 0,3531729
414; 0,9225074
415; 0,6993549
416; -0,6256895
417; -0,1478044
418; -0,9990506
419; -0,02330916
420; -0,4344535
421; -0,1849179
422; -0,1116791
423; -0,9866189
424; 0,4858047
425; -0,09016507
426; -0,918095
427; 0,8391467
428; 0,7435791
429; 0,7774888
430; 0,9302583
431; -0,8214096
432; 0,06620361
433; 0,3819594
434; 0,4281943
435; 0,183082
436; -0,3962973
437; 0,03524905
438; -0,1742213
439; -0,9436449
440; 0,9059165
441; 0,3428676
442; -0,583092
443; 0,5734571
444; 0,966791
445; 0,2467227
446; 0,9372439
447; -0,1542178
448; -0,3188947
449; 0,7074239
450; 0,2380714
451; -0,01347727
452; 0,2146207
453; 0,007313624
454; 0,2259205
455; 0,4400707
456; -0,8685998
457; -0,2364177
458; 0,8644636
459; 0,7344072
460; -0,4367389
461; -0,4297296
462; 0,5441923
463; -0,03132129
464; 0,09057341
465; 0,2241209
466; 0,3890592
467; -0,5569366
468; -0,2858258
469; -0,09931694
470; 0,3819301
471; -0,3908945
472; 0,05672104
473; 0,9555522
474; 0,2911227
475; 0,2849432
476; -0,6211113
477; -0,9216588
478; 0,7656682
479; -0,2242912
480; 0,7375589
481; 0,2877973
482; 0,8231763
483; 0,001617923
484; 0,03598979
485; 0,05170172
486; -0,2892625
487; -0,1624622
488; 0,7450861
489; 0,01833412
490; -0,3761708
491; 0,4569526
492; -0,5927132
493; -0,0768765
494; -0,4804077
495; -0,3207697
496; 0,4814702
497; 0,4601582
498; 0,3847907
499; 0,1122939
500; 0,1573802
501; 0,277842
502; 0,8782296
503; 0,4677459
504; -0,021091
505; 0,1176655
506; -0,1567332
507; 0,8286517
508; -0,8907384
509; 0,05269771
510; -0,5869535
511; 0,9008643
512; -1
513; 0,9646921
514; 0,7387488
515; -0,03865092
516; 0,4061744
517; -0,7553548
518; 0,2247883
519; -0,5935781
520; -0,008232221
521; 0,01371946
522; 0,1762111
523; 0,7664731
524; -1
525; 0,2520791
526; 0,7931753
527; 0,3757286
528; 0,5678613
529; -0,7096505
530; 0,2238069
531; -0,5847846
532; -1
533; 0,5841784
534; -0,3247651
535; 0,9456022
536; 0,3853381
537; -0,2899642
538; -0,1934983
539; 0,1520249
540; -0,6079425
541; -0,6204709
542; 0,83111
543; 0,7728825
544; -0,2101892
545; 0,2382105
546; 0,06711093
547; -0,2514774
548; 0,1735784
549; -0,7971806
550; -0,9788018
551; -0,9660784
552; 0,6616147
553; -0,4566776
554; -0,4061177
555; -0,5582496
556; 0,4091908
557; -0,8159405
558; -0,2044697
559; -0,7390157
560; 0,892862
561; -0,4277824
562; 0,1865382
563; 0,3085836
564; -0,3899328
565; -0,05593016
566; 0,6451294
567; 0,3818678
568; -0,4331962
569; -0,9719109
570; -0,5750588
571; 0,2027488
572; -0,465533
573; 0,6625114
574; 0,6034905
575; 0,3922335
576; 0,5803541
577; 0,08764393
578; -1
579; 0,7116906
580; 0,3981866
581; 0,2321923
582; -0,04210242
583; 0,8001438
584; 0,9363161
585; 0,3013512
586; -0,7553392
587; -0,4960753
588; -0,2125518
589; -0,07024512
590; -0,9166445
591; -0,3959602
592; 0,9241049
593; -0,9428095
594; 0,3241409
595; -0,380809
596; 0,6827496
597; -0,9297912
598; 0,5709233
599; 0,5196245
600; -0,7774995
601; 0,4877741
602; -0,5096223
603; 0,4029713
604; 0,7172301
605; -0,310079
606; -0,880561
607; -0,9946471
608; 0,6315124
609; 0,06893519
610; -0,1948222
611; 0,9650236
612; 0,2102372
613; -0,3368162
614; 0,1860138
615; -0,07777613
616; 0,7924442
617; -0,100598
618; -0,2527934
619; 0,8518006
620; 0,8569718
621; -0,1737868
622; -0,4064851
623; -0,05304723
624; 0,7261432
625; -0,2385982
626; 0,4682597
627; -0,9021452
628; -0,4223328
629; -0,1372757
630; 0,6861314
631; 0,2852937
632; -0,1038699
633; 0,3866725
634; 0,1571489
635; -0,429029
636; 0,07468759
637; -0,397597
638; 0,9689539
639; -1
640; -0,7398208
641; -0,1396474
642; 0,6310925
643; 0,1830099
644; -0,205341
645; 0,6055435
646; 0,01346052
647; -0,892903
648; 0,05719466
649; 0,4041309
650; -0,7858046
651; 0,396832
652; -0,6125546
653; -0,2535464
654; -0,6259196
655; 0,430403
656; -0,354068
657; 1
658; 0,2781062
659; 0,08995359
660; 0,2790614
661; -0,7355239
662; 0,2048401
663; 0,9203063
664; -0,6783777
665; 0,1478378
666; -0,3123274
667; 0,5548387
668; -1
669; -0,09350409
670; 0,9028683
671; -0,4539195
672; -0,4311714
673; -0,7974923
674; 0,7132145
675; -0,3143361
676; 0,8868133
677; 0,7518748
678; -0,4763727
679; -0,3610794
680; 0,2148097
681; 0,9059273
682; 0,8941692
683; 0,09359035
684; 0,4518124
685; 0,9822442
686; 0,4257743
687; 0,6348387
688; 0,7859145
689; -0,1213398
690; -0,5889949
691; -1
692; 0,7547625
693; 0,749445
694; -0,9959499
695; -1
696; -0,4843587
697; -0,2532189
698; -0,1080323
699; -0,637547
700; -0,3490129
701; -0,04790188
702; 0,8247815
703; -0,9399912
704; -0,6668161
705; -0,1955514
706; -0,4737706
707; 0,7636256
708; 0,7366877
709; 1
710; 0,2979818
711; -0,4691285
712; 0,2524617
713; -0,3558187
714; -0,4904729
715; 0,3286624
716; 0,3466213
717; 1
718; 0,7830902
719; 0,2577481
720; -0,1940651
721; 0,4922242
722; 0,4691167
723; -0,7766762
724; 0,6452322
725; 1
726; -0,3700738
727; -0,2230644
728; 0,6587082
729; 0,9824426
730; 0,6081914
731; 0,6678959
732; 0,5123853
733; -0,421815
734; 0,3605716
735; 0,6990911
736; -0,1819063
737; 0,7985268
738; 0,598896
739; 0,9148651
740; -0,4276234
741; -0,4797329
742; 0,3510042
743; 0,611671
744; 0,1628706
745; -0,3104905
746; -0,2656795
747; 0,1892863
748; -0,446384
749; 0,6524684
750; 0,5147061
751; -0,2600382
752; 0,640703
753; 0,8699715
754; 0,9249299
755; -0,8267463
756; -0,2095498
757; 0,6006573
758; 0,2049757
759; -0,7733972
760; -0,05754081
761; -0,3809054
762; 0,2253077
763; 1
764; -0,6564826
765; 0,6859974
766; -0,8960208
767; 0,3384453
768; 0,6588452
769; -0,9335037
770; 0,01863284
771; -0,06239714
772; -0,05366277
773; -0,149511
774; 0,1659533
775; -0,6018966
776; -0,3036598
777; 0,6053637
778; 1
779; 0,391892
780; -0,2120991
781; -0,4745718
782; -0,4105525
783; -0,08694138
784; 0,1906797
785; 0,4742879
786; 0,6690431
787; -1
788; 0,08753069
789; -0,1805369
790; -1
791; 0,9064999
792; 0,2193305
793; -0,767548
794; -0,9142005
795; 0,4078717
796; 0,09130339
797; -0,9598933
798; -0,4546649
799; 0,5957447
800; -0,4699095
801; 0,09515265
802; 0,595585
