GeneIndex;Weight
0; -0,7432835
1; 0,2475783
2; 0,5832292
3; 0,8162256
4; -0,6934667
5; -0,06062611
6; -0,3243295
7; -1
8; -0,7198952
9; -0,2972917
10; -0,3617488
11; 0,7099977
12; -0,4666453
13; 0,642369
14; -0,9590067
15; 0,4927568
16; 0,963475
17; 0,3815907
18; 0,4064689
19; -0,843935
20; -0,5403973
21; 0,2270425
22; 0,6932297
23; 0,4089435
24; 0,1617818
25; -0,5947398
26; 0,3377906
27; 0,13235
28; 0,9743073
29; 0,1481103
30; 0,4945623
31; 0,03719022
32; -0,508193
33; -0,7324491
34; -0,7986394
35; 0,6381909
36; 0,9978601
37; -1
38; 0,750475
39; 0,192938
40; 0,08711249
41; 0,3728753
42; 0,5590872
43; 0,9243181
44; -0,5103475
45; 0,7737533
46; 0,4382586
47; 0,4552189
48; -0,7792867
49; -0,1525625
50; 0,4790087
51; -0,8547269
52; 0,4745696
53; 0,5428761
54; 0,9110546
55; 0,63998
56; 0,3791201
57; -0,8277697
58; 0,1092634
59; -0,6323195
60; 0,8948916
61; 0,5691307
62; 0,3286674
63; 0,5498279
64; 0,363226
65; 0,6115634
66; 0,01652887
67; -0,7592309
68; -0,2564617
69; -0,6814814
70; 0,931143
71; 0,4014907
72; -0,556393
73; -0,3751602
74; 0,2851701
75; 0,1144017
76; -0,03199995
77; -0,5418544
78; 0,006241098
79; -0,5960731
80; 0,8098202
81; -0,6305507
82; 0,3481242
83; -0,3909486
84; 0,9609998
85; -0,7959161
86; 0,5990173
87; -0,1020442
88; 0,6946096
89; -0,5217454
90; -0,4924459
91; -0,9597781
92; -0,1240354
93; -0,6022928
94; 0,5772216
95; -0,3295295
96; -0,9902033
97; -1
98; -0,9227713
99; -0,08793788
100; -0,1664843
101; -0,7224497
102; 0,5340527
103; -0,493872
104; 0,7967495
105; -0,7409895
106; -0,7170947
107; 0,6403671
108; 0,8644688
109; 0,9937918
110; -0,7400438
111; 0,6433118
112; 0,914646
113; -0,1028222
114; -0,884499
115; -0,09067414
116; 0,9622999
117; 0,7972611
118; -0,09876046
119; 0,841352
120; 0,7777688
121; 0,1759638
122; 0,270631
123; 0,4915911
124; -0,06192646
125; -0,565709
126; -0,248797
127; -0,2344225
128; 0,6547179
129; 0,5610467
130; 0,3616143
131; 1
132; -0,5966868
133; 0,897068
134; 0,5955499
135; 0,6316513
136; -0,4067666
137; -0,4111807
138; 0,07737338
139; -0,5366104
140; 1
141; 0,6268661
142; -0,6344815
143; 0,6861186
144; 0,2827603
145; 0,5567697
146; 0,2187036
147; -0,4315219
148; -0,2677248
149; 0,517616
150; 0,8867131
151; 0,9173512
152; -0,4597308
153; 0,2456085
154; 0,8842574
155; 0,8236811
156; -0,757261
157; -0,220042
158; -0,664838
159; -0,9340631
160; -0,2123191
161; 0,9895595
162; 0,8680009
163; 0,07817726
164; 0,2678863
165; -0,2871732
166; -0,8918424
167; -0,4676704
168; -0,008003891
169; -0,4659539
170; 0,9371151
171; 0,8402624
172; -0,003871806
173; -0,6888346
174; 0,6236949
175; -0,7806543
176; 0,4125749
177; 0,5669463
178; -0,1318843
179; 0,06661355
180; 0,4264242
181; -0,277879
182; -0,08574456
183; 0,2940361
184; -0,4612694
185; 0,570784
186; -0,9044772
187; 0,1626245
188; 0,177921
189; 0,2781168
190; 0,6757601
191; -0,7471864
192; 0,01436641
193; -0,9101285
194; 0,8225316
195; -0,1846317
196; 0,07692387
197; 0,6024076
198; -0,7091458
199; 0,6858313
200; -0,8785757
201; -0,2869344
202; -0,08306202
203; 0,4247899
204; 0,229635
205; -0,4812889
206; -0,2238621
207; 0,381619
208; 0,1327117
209; -0,5261136
210; -0,5974616
211; -0,1445487
212; -0,7544872
213; -0,1648352
214; 0,03359542
215; 0,5534327
216; -0,9509955
217; -0,309222
218; 0,8013248
219; 0,08097812
220; -0,8410808
221; -0,9652213
222; -0,655876
223; 0,009765547
224; 0,06575981
225; -0,7459164
226; 0,11153
227; 0,2448148
228; -0,07461566
229; 0,7766699
230; 0,514378
231; 0,7514809
232; 0,6612298
233; 0,06843064
234; 0,8309564
235; -0,3435186
236; -0,9273439
237; -0,2538669
238; -0,2980587
239; 0,5291201
240; -0,6568791
241; 0,6420522
242; -0,9893937
243; 0,9244388
244; 0,6011537
245; 0,6772446
246; 0,6982238
247; -0,04341677
248; -0,206264
249; 0,3434602
250; -0,7646722
251; -0,2616687
252; -0,04784783
253; -0,1020141
254; -0,04899867
255; -0,319227
256; 0,5955389
257; -1
258; 0,830943
259; -0,01527448
260; 0,951563
261; 0,3951615
262; -0,03025079
263; 0,003838554
264; 0,131453
265; -0,1074178
266; -0,6439556
267; -0,2050506
268; 0,6276408
269; 0,5429152
270; -0,5906489
271; -0,7300234
272; 0,5538383
273; -0,1187026
274; 0,624773
275; 0,9511298
276; 0,4037075
277; 0,7632022
278; -0,5965629
279; -0,5305854
280; 0,6245809
281; -0,006163798
282; 0,8767979
283; -0,2025407
284; -0,7358949
285; 0,001699865
286; -0,0991669
287; -0,6602846
288; 0,3470734
289; -0,09460337
290; 0,3649275
291; 0,3784377
292; 0,1550947
293; 0,9566218
294; 0,8821621
295; 0,06189645
296; 0,8730168
297; 0,6944084
298; -1
299; -0,7316921
300; -0,5156934
301; -0,4909225
302; 0,5269433
303; -0,630507
304; 0,7690317
305; -0,126333
306; -0,7331423
307; 0,1722299
308; 0,1996293
309; -0,103929
310; 0,05392332
311; -0,3236168
312; -0,6318679
313; -0,7793512
314; 0,8717582
315; 0,2330907
