GeneIndex;Weight
0; -0,8898047
1; 0,08105666
2; 0,5282785
3; 0,8272116
4; -0,6934667
5; -0,06062611
6; -0,2798015
7; -0,7497178
8; -0,6449401
9; -0,2626132
10; -0,577425
11; 0,7534057
12; -0,5244813
13; 0,6259707
14; -0,7504582
15; 0,4266779
16; 0,9960231
17; 0,3370531
18; 0,4064689
19; -0,7980286
20; -0,493796
21; 0,1437061
22; 0,8131818
23; 0,3125527
24; 0,1089911
25; -0,6249869
26; 0,3030394
27; -0,06024251
28; 0,8380224
29; 0,07753589
30; 0,4945623
31; 0,05518071
32; -0,4673664
33; -0,7408751
34; -0,805693
35; 0,6192849
36; 0,9649847
37; -1
38; 0,750475
39; 0,0767926
40; 0,06901845
41; 0,3728753
42; 0,5383679
43; 0,9004935
44; -0,4521714
45; 0,9768533
46; 0,4091077
47; 0,4999928
48; -0,8314315
49; -0,1700736
50; 0,6856009
51; -0,7882828
52; 0,5432568
53; 0,5761306
54; 1
55; 0,6189684
56; 0,3791201
57; -0,8440881
58; 0,0462443
59; -0,6871393
60; 0,9373977
61; 0,6391103
62; 0,3532977
63; 0,5498279
64; 0,3698286
65; 0,6115634
66; 0,04660891
67; -0,6751707
68; -0,2099296
69; -0,6111031
70; 0,8828875
71; 0,3330792
72; -0,6944527
73; -0,3751602
74; 0,2851701
75; 0,1144017
76; -0,06041088
77; -0,4949576
78; -0,1016007
79; -0,618746
80; 0,6715506
81; -0,5188153
82; 0,3483271
83; -0,4019463
84; 0,9892452
85; -0,7623801
86; 0,7304593
87; 0,06473592
88; 0,5965253
89; -0,614554
90; -0,576783
91; -0,8255225
92; -0,1042798
93; -0,5817166
94; 0,4954858
95; -0,3295295
96; -0,9902033
97; -0,8858058
98; -1
99; -0,0881384
100; -0,1388858
101; -0,7500958
102; 0,4479311
103; -0,4754486
104; 0,779292
105; -0,7409895
106; -0,6403531
107; 0,6403671
108; 0,8644688
109; 0,9486318
110; -0,6573019
111; 0,6433118
112; 0,9117897
113; -0,0374123
114; -0,7918956
115; -0,03869537
116; 0,7771813
117; 0,864824
118; -0,1039789
119; 0,8888777
120; 0,719423
121; 0,2015776
122; 0,2698544
123; 0,4796684
124; 0,003092609
125; -0,556237
126; -0,2801321
127; -0,2361525
128; 0,6378098
129; 0,5429214
130; 0,3161929
131; 1
132; -0,5738446
133; 0,7760351
134; 0,5314202
135; 0,6493172
136; -0,3664083
137; -0,3802606
138; -0,09393907
139; -0,4821927
140; 1
141; 0,6468073
142; -0,6320983
143; 0,6835257
144; 0,3819529
145; 0,557779
146; 0,2759253
147; -0,4315219
148; -0,2578922
149; 0,4547952
150; 0,7546157
151; 1
152; -0,4597308
153; 0,2308013
154; 0,9199139
155; 0,7389464
156; -0,8227472
157; -0,06982397
158; -0,7541547
159; -0,8185394
160; -0,2104711
161; 0,8188022
162; 0,7963886
163; 0,07817726
164; 0,2678863
165; -0,3725823
166; -0,7040568
167; -0,597913
168; 0,08484352
169; -0,397316
170; 0,8297843
171; 0,8513671
172; -0,1695568
173; -0,6380292
174; 0,8050226
175; -0,5441429
176; 0,4866156
177; 0,6329613
178; -0,2422841
179; 0,02240523
180; 0,4644985
181; -0,3111455
182; -0,1464343
183; 0,1404394
184; -0,5241876
185; 0,6218045
186; -0,9044772
187; 0,1206598
188; 0,202331
189; 0,3029377
190; 0,7689396
191; -0,7001107
192; -0,03704927
193; -0,9434421
194; 0,8140034
195; -0,1924134
196; -0,04237868
197; 0,5479134
198; -0,6783577
199; 0,6858313
200; -0,8935929
201; -0,3745145
202; -0,2031673
203; 0,6445855
204; 0,03523934
205; -0,3078891
206; -0,1694809
207; 0,4126713
208; 0,06510939
209; -0,5919788
210; -0,5720627
211; -0,1445487
212; -0,8497401
213; -0,4224471
214; 0,0007576682
215; 0,5484501
216; -0,9296942
217; -0,292548
218; 1
219; 0,02194943
220; -0,7172568
221; -0,7625507
222; -0,655876
223; -0,05906003
224; 0,06851362
225; -0,8301248
226; 0,2178219
227; 0,2095779
228; -0,1646327
229; 0,7999036
230; 0,4498489
231; 0,9061496
232; 0,6832592
233; -0,1498515
234; 0,7973379
235; -0,2861701
236; -0,9273439
237; -0,2355163
238; -0,2980587
239; 0,5031983
240; -0,6731521
241; 0,7282875
242; -0,9053144
243; 0,8377177
244; 0,7421253
245; 0,6772446
246; 0,7504008
247; -0,09650535
248; -0,3025493
249; 0,3434602
250; -0,8946912
251; -0,1904681
252; -0,06889617
253; -0,1020141
254; -0,093673
255; -0,2732986
256; 0,8105995
257; -0,9121256
258; 0,9121876
259; 0,1492651
260; 0,8128346
261; 0,3108358
262; 0,02010249
263; 0,05858345
264; 0,1866738
265; -0,08861608
266; -0,7111029
267; -0,2533722
268; 0,5395779
269; 0,4477161
270; -0,6617945
271; -0,7733784
272; 0,5580483
273; -0,07682465
274; 0,5580669
275; 0,8525564
276; 0,4383399
277; 0,6344109
278; -0,6111062
279; -0,5305854
280; 0,6837297
281; 0,01065841
282; 0,9246708
283; -0,2025407
284; -0,9785489
285; -0,0627332
286; -0,0991669
287; -0,6602846
288; 0,3487301
289; 0,08782595
290; 0,2991754
291; 0,4579947
292; 0,1550947
293; 0,9566218
294; 0,8821621
295; 0,08826353
296; 0,9136249
297; 0,7276886
298; -1
299; -0,7245138
300; -0,5156934
301; -0,3682091
302; 0,4388231
303; -0,737865
304; 0,7569802
305; 0,02420434
306; -0,6709495
307; 0,217535
308; 0,2291313
309; -0,103929
310; 0,1842826
311; -0,1078778
312; -0,6867594
313; -0,708995
314; 0,9017798
315; 0,2419468
316; 0,4768551
317; 0,4515548
318; 0,5733323
319; -0,1036939
320; -0,5017393
321; 0,1437591
322; -0,6511387
323; -0,470217
324; 0,1906057
325; -0,9779056
326; 0,04441297
327; 0,3009878
328; 0,2990523
329; -0,4742352
330; 0,7085934
331; -0,1461783
332; 0,4865475
333; -1
334; -0,4312886
335; 0,3006805
336; 0,7761065
337; 0,2932727
338; -0,9896553
339; -0,7208048
340; -1
341; 0,2882939
342; -0,6738772
343; -0,6857417
344; 0,6389493
345; 0,01807006
346; -0,9294471
347; 0,2510999
348; -0,3733886
349; 0,01008969
350; -0,2455439
351; 0,2410126
352; -0,6901699
353; 0,7023594
354; 0,5979619
355; 0,1277428
356; 0,1268336
357; 0,9081972
358; -0,5489879
359; -0,4829441
360; 0,08135812
361; 0,6721687
362; 0,867638
363; -0,285773
364; 0,9282435
365; -0,8093693
366; 0,4214154
367; -0,7996513
368; -0,556434
369; 0,419201
370; -0,1513897
371; 1
372; 0,5749767
373; 0,8465376
374; 0,3812054
375; 0,3019182
376; -0,01911816
377; -0,5279954
378; 0,1312499
379; 0,08876141
380; 0,8226388
381; 0,6117988
382; -0,5791092
383; 0,7221323
384; -0,8257023
385; 0,04631709
386; -0,4500937
387; 0,06248882
388; 0,5469186
389; -0,8300508
390; -0,2551225
391; -0,8419254
392; 0,4680975
393; -0,6260198
394; 0,7320179
395; 0,7642854
396; 0,1614175
397; -0,1900838
398; -1
399; 0,06766284
400; 0,2038961
401; -0,8207696
402; 0,7493862
403; 0,2320932
404; -0,1935604
405; 0,2720997
406; 0,1729385
407; 0,693199
408; 0,8429123
409; -0,1585175
410; -0,8444219
411; 0,1330023
412; -0,6418325
413; -0,3903105
414; 0,4598823
415; 0,1504659
416; 0,7054102
417; -0,3157471
418; 0,8058266
419; -0,209939
420; 0,8785736
421; -0,6776087
422; 0,8755563
423; -0,1056474
424; 0,9983093
425; 1
426; -0,8527282
427; -0,231812
428; 0,5071316
429; 0,7801095
430; 0,1831971
431; -0,9711387
432; -0,4621049
433; 0,4977136
434; 0,1603226
435; 0,5199641
436; -0,2100755
437; 0,8289779
438; 0,3448237
439; 0,808998
440; -0,188861
441; -0,6035472
442; 0,0589739
443; 0,7630317
444; 0,5885152
445; -0,410076
446; 0,6788773
447; -0,1631948
448; 0,2507156
449; 0,8315893
450; 0,2323498
451; 0,744589
452; 1
453; -0,971673
454; 0,750656
455; -0,3717871
456; -0,2183116
457; -0,1516753
458; 0,2656758
459; 0,5290753
460; 0,7149141
461; -0,4146347
462; 0,4047338
463; -0,602312
464; -0,5128416
465; 0,6159413
466; 0,07552313
467; 1
468; -0,6440642
469; 1
470; 0,3150683
471; 0,7376981
472; 0,8340971
473; 0,8570341
474; 0,5959444
475; -0,3360562
476; -0,3315446
477; 0,3539692
478; 0,9136667
479; -0,4516437
480; -0,4129322
481; -0,9385213
482; -0,07327952
483; -0,8915731
484; 0,5131794
485; 0,1559793
486; -0,8467816
487; 0,5710123
488; 0,3357913
489; -0,3737946
490; -1
491; 0,1912363
492; 0,8649555
493; -0,3703065
494; -0,4736761
495; -0,1824226
496; 0,8418962
497; 0,1098422
498; -0,1054654
499; 0,1354753
500; -0,749827
501; 0,907438
502; 0,7580479
503; 0,09559578
504; -0,9035915
505; -0,3082553
506; 0,4667771
507; -0,6560193
508; -0,1347308
509; 0,7156675
510; 0,6291
511; -0,09722845
512; -0,03976052
513; -0,04629532
514; -0,7194706
515; -0,2134455
516; -0,6581505
517; -0,9443761
518; -0,7240647
519; -0,7828609
520; -0,3668762
521; 0,4660055
522; 0,2961723
523; -0,8742927
524; -0,9358651
525; -0,07865135
526; -0,8873522
527; -0,3596606
528; -0,5679499
529; 0,6895067
530; -0,4148516
531; -0,3540231
532; 0,1347574
533; 0,04596115
534; 0,363308
535; 0,3845387
536; 0,336068
537; 0,4036014
538; -0,5885034
539; 0,03279328
540; 0,2752149
541; 0,2502808
542; 0,7912478
543; -0,561649
544; -0,4202702
545; -0,8106164
546; -1
547; 0,9333966
548; 0,9083495
549; 0,3062294
550; 0,2876596
551; -0,6126575
552; 0,5103049
553; -0,01018441
554; -0,865883
555; 0,7007227
556; 0,6413327
557; 0,8015364
558; 0,4932671
559; -0,9170383
560; -0,07021431
561; -0,2905275
562; 0,7647535
563; 0,5841057
564; 0,1058283
565; 0,1013339
566; -0,009872153
567; -0,484162
568; 0,9217821
569; -0,6539738
570; 0,09291239
571; 0,708555
572; 0,495553
573; -0,8549408
574; -0,5334315
575; -0,737301
576; 0,9786531
577; 0,09906079
578; 0,4166214
579; -0,05864618
580; 0,547325
581; -0,5100632
582; 0,1060038
583; 0,4801177
584; 0,1394118
585; -0,5960215
586; 0,336715
587; 0,8047388
588; 0,5300766
589; 0,4134169
590; -0,2895041
591; 0,4894695
592; -0,9459873
593; -0,8329766
594; -0,5456595
595; 0,4542821
596; -0,457727
597; 0,8886933
598; 0,4686731
599; 0,06881823
600; -0,5688837
601; 0,4251459
602; -0,9226499
603; -0,1888646
604; -1
605; 0,3443234
606; 0,0232665
607; 0,5746329
608; -0,2243898
609; -0,5778973
610; 0,02701668
611; 0,5242885
612; 1
613; -0,9769604
614; -0,6117696
615; 0,4748574
616; -0,8601398
617; -0,8648673
618; -0,6015823
619; 0,03209826
620; 0,5318881
621; 0,06085304
622; -0,5398437
623; -0,3674895
624; -0,1045587
625; 0,9025552
626; -0,7784562
627; 0,350627
628; -0,582048
629; 0,6190932
630; -0,5864363
631; -0,07541105
632; 0,6445343
633; 0,7562976
634; 0,6833944
635; 0,6032875
636; 0,442948
637; 0,6099921
638; -0,8134474
639; -0,0120443
640; -0,5624489
641; -0,04319966
642; -0,4438729
643; 0,3828023
644; -0,9437354
645; -0,3698756
646; -0,728779
647; -0,8277345
648; -0,2446585
649; -1
650; -1
651; 0,7689721
652; 0,2405897
653; -0,8113301
654; -0,784831
655; 0,7899008
656; -0,5330771
657; 0,8539594
658; 0,3465526
659; 0,01843224
660; 0,5627196
661; 0,6050105
662; -0,5404484
663; 0,8493418
664; -0,5671536
665; 0,3635823
666; 1
667; -0,02372041
668; 0,4863318
669; 0,1545103
670; -0,03796326
671; -0,5667179
672; -0,2376333
673; 0,5890163
674; -0,6002998
675; -0,1596847
676; 0,4857758
677; 0,5379363
678; 0,5175672
679; 0,3929746
680; 0,07391605
681; 0,8106934
682; -0,05570298
683; 0,3875355
684; 0,5146933
685; -0,9134456
686; -0,8798608
687; -0,3720173
688; -0,5478835
689; 0,592525
690; -0,6655728
691; 0,09144207
692; 0,5495569
693; 0,8226475
694; 0,5121732
695; -0,2379591
696; -0,03366815
697; 0,05002319
698; -0,7917075
699; -0,9363811
700; 0,9363019
701; -0,4214319
702; 0,9897999
703; -0,9736347
704; 1
705; -0,8184344
706; 0,2179974
707; 0,4588303
708; -0,7257298
709; 0,5904273
710; 0,142965
711; 0,06411954
712; 0,4362226
713; -0,1663276
714; -0,6837248
715; -0,5191898
716; 0,7318414
717; -0,6847328
718; -0,9410843
719; -0,02963863
720; -0,5101624
721; 0,8939768
722; -0,5949507
723; -0,6887395
724; -1
725; -0,1728787
726; -0,0263139
727; -0,9011204
728; 0,9429007
729; 0,2780156
730; -0,5819843
731; -0,5078385
732; 0,7153911
733; -0,7403114
734; 0,4789595
735; -0,7823095
736; 0,6014162
737; -0,1152767
738; 0,6709607
739; 0,7654706
740; 0,7746668
741; -0,009398475
742; 0,5901783
743; 0,1570755
744; 0,1160482
745; -0,06154396
746; -0,7978213
747; -0,1731297
748; -0,6282552
749; -0,3040591
750; -1
751; -0,3149864
752; 0,3490365
753; -0,7577386
754; -0,006130144
755; 0,8167455
